coin_number,short_id,spot_type,spot_description,confidence,review_basis
54,InhMby7RpAQ,playground_tunnel_lip,"Under the lip of a yellow playground tunnel or slide panel, beside the metal seam.",high,end6 contact sheet
55,gruSMZ4P9dc,curb_grass_edge,"In between the concrete walkway edge and grass, on soil beside the path.",high,end6 contact sheet
56,RvknUrA0wHQ,wall_base_planter,"Beside a curved white wall base, on soil under small plants.",high,end6 contact sheet
57,ifRDU9Jqm2E,utility_base_opening,"Inside the black utility base opening, on grass beside the brick walkway.",high,end6 contact sheet
58,mUgBlwJKCd8,rocky_edge_gap,"In between rocks and gravel, beside the concrete curb edge.",high,end6 contact sheet
59,L5JftrVLh6c,metal_fin_gap,"Inside the narrow gap between grey metal fins, on dry leaves and debris.",high,end12_24 plus end6 contact sheets
60,5si_Lux3Dn8,curb_crack,"In the crack between concrete kerb slabs, on soil and grass.",high,end6 contact sheet
61,zyl-Q91ZpiM,bench_underseat_grass,"Under a wooden bench, in the grass strip below the seat edge.",medium,end6 contact sheet
62,HTFtt3mQKxg,curb_seam_leaf_litter,"In between the mossy concrete curb and stone edge, under wet leaves.",high,end6 contact sheet
63,gS5cImefyyQ,leaf_litter_soil,"Under dry leaves, on soil among small rocks.",high,end6 contact sheet
64,Q9vR1ZYLvRU,paver_hole,Inside the round hole of a square paver or stepping stone.,high,end6 contact sheet
65,mRVj09QozOM,paver_crack,"In the crack between concrete pavers, on grass and soil.",high,end12_24 plus end6 contact sheets
66,UlkX0gqr3sM,concrete_block_gap,"In between concrete blocks, on soil and dry leaves.",high,end6 contact sheet
67,QZco4ririmE,stone_base_grass_gap,"In the gap at the base of a red stone seat or wall, beside grass.",high,end6 contact sheet
68,zF2aZNjevXM,playground_panel_bolt,Under the seam bolt of an orange playground tunnel panel.,high,end12_24 plus end6 contact sheets
69,lfaXx_2zsT0,curb_grass_gap,In the grass gap beside a concrete kerb block.,high,end6 contact sheet
70,qPKss6b2w8I,step_seam,"In the narrow seam under a concrete step or ledge, on gravel.",high,end6 contact sheet
71,-udvHINeWdM,signboard_leaf_litter,"Under dry leaves, beside the black signboard panel and hedge.",medium,end12_24 plus end6 contact sheets
72,8x8JBL9cddE,brick_mulch_seam,"In between the red brick border and planting bed, under roots and mulch.",high,end6 contact sheet
73,TQNPMjgjVCM,paver_planter_gap,"In the planter gap beside brick pavers, under rocks and dry leaves.",high,end6 contact sheet
74,EEZVOYZhNuU,perforated_panel_floor_gap,"Behind a perforated metal panel, on the concrete floor seam at the base.",high,end12_24 plus end6 contact sheets
76,-sVFN7VRj9g,curb_hedge_leaf_litter,"In between the concrete kerb and hedge border, under dry leaves.",high,end6 contact sheet
77,m7Wq5ONDuW0,stone_kerb_gap,"In between rocks and the concrete kerb, under dry leaves.",high,end6 contact sheet
