campaign,coin_number,short_id,spot_type,spot_description,confidence,review_basis
SG60,1,oxmISKHlw2Y,brick_grass_edge,"In between the red brick border and grass, under dry leaves beside the concrete kerb.",high,end6 contact sheet
SG60,2,kEDCFOIPJ08,pipe_gap,"Behind a large white pipe, in between the pipe and white wall or slab.",high,end6 contact sheet
SG60,3,VFedconvH5s,retaining_wall_corner_gap,"In the corner gap between a low concrete retaining wall and planter edge, under roots and dry leaves.",high,end12_24 plus end6 contact sheets
SG60,4,6RTJlqxJtVY,bench_slat_gap,"In between the wooden bench slats, beside the metal armrest.",high,end6 contact sheet
SG60,5,ikdn-k4Ug7c,kerb_grass_edge,"Beside a concrete kerb, on grass and soil at the base edge.",medium,end6 contact sheet
SG60,6,SVfjqBOnJ_w,tree_bark_crevice,"Inside a tree bark groove, above dry leaves beside the hedge-lined walkway.",high,end12_24 plus end6 contact sheets
SG60,7,f7b-M4Y4eIY,railing_drain_gap,"In between green metal railing posts and the concrete drain edge, on soil and grass.",high,end6 contact sheet
SG60,9,binO9_h0WzU,planter_tile_edge,"Inside the planter edge, on top of the red brick border under the bush.",high,end6 contact sheet
SG60,10,MF9qMW6YSUE,signboard_leg_corner,"In the corner gap beside a grey signboard leg, on the black concrete plinth.",high,end6 contact sheet
SG60,11,NMCTHFKEPAk,bench_underseat_gap,"Under a purple bench, below the side panel and beside the leg.",high,end6 contact sheet
SG60,12,_9McgQ4GLr4,kerb_grass_edge,"Under grass, beside a low concrete kerb at the walkway edge.",high,end6 contact sheet
SG60,13,8_4IYcVjDTs,planter_wall_groundcover,"Under groundcover, on top of a rough concrete planter wall edge.",high,end6 contact sheet
SG60,14,SGiEvMBxD-I,signboard_base_leaf_litter,"Behind the low metal signboard base strip, under dry leaves and straw on grass.",high,end6 contact sheet
SG60,15,v0k_LNcQsWw,playground_slide_lip,"Under the lip of a yellow playground slide outlet, above the rubber floor.",high,full12 plus end6 contact sheets
SG60,16,dsv2GywkjpM,concrete_crack,"In a concrete crack on the rough walkway, under small debris.",high,end6 contact sheet
SG60,17,5VN8BjCGcxw,rock_drain_gap,"In between large rocks and pebbles, beside roots in the drain gap.",high,end6 contact sheet
SG60,18,_6NwXgJEYCQ,wall_ledge_vines,"On top of a white wall ledge, under branches and vines above the brick wall.",high,end6 contact sheet
SG60,19,ksq_JNmpaaU,walkway_planting_crack,"In the crack between the concrete walkway and planting bed, beside grass.",high,end6 contact sheet
SG60,20,sfyQLhZ2r34,paver_gap,"In between mossy granite pavers, on soil and grass.",high,end6 contact sheet
SG60,21,2X74dMP7a9k,curb_drain_leaf_litter,"Under dry leaves, inside the curbside drain gap beside the path.",high,end6 contact sheet
SG60,22,84cjZyPcCd8,brick_curb_gap,"In between the red brick border blocks and the concrete curb, beside grass.",high,end6 contact sheet
