record_id,campaign,coin_number,short_id,spot_type,spot_description,confidence,confidence_score,review_basis,primary_position,secondary_position,primary_object,secondary_object,tertiary_object,environment_type,surface_type,concealment_type,search_priority,search_instruction,search_text
sg60_001,SG60,1,oxmISKHlw2Y,brick_grass_edge,"In between the red brick border and grass, under dry leaves beside the concrete kerb.",high,1.0,end6 contact sheet,in_between,under,brick,grass,leaves,mixed_edge,brick+grass,underside,5,"Check underneath the brick first, then inspect the nearest edge and floor seam.","SG60 silver coin. coin 1. spot type brick grass edge. positions in_between under. objects brick grass leaves. environment mixed edge. concealment underside. In between the red brick border and grass, under dry leaves beside the concrete kerb."
sg60_002,SG60,2,kEDCFOIPJ08,pipe_gap,"Behind a large white pipe, in between the pipe and white wall or slab.",high,1.0,end6 contact sheet,behind,in_between,pipe,wall,concrete,utility_edge,metal+concrete,seam_gap,5,Check the seam or narrow gap behind the pipe before scanning open ground.,"SG60 silver coin. coin 2. spot type pipe gap. positions behind in_between. objects pipe wall concrete. environment utility edge. concealment seam gap. Behind a large white pipe, in between the pipe and white wall or slab."
sg60_003,SG60,3,VFedconvH5s,retaining_wall_corner_gap,"In the corner gap between a low concrete retaining wall and planter edge, under roots and dry leaves.",high,1.0,end12_24 plus end6 contact sheets,in_corner,in_between,wall,concrete,planter,landscape_edge,concrete+leaf_litter,seam_gap,5,Check the seam or narrow gap in the corner of the wall before scanning open ground.,"SG60 silver coin. coin 3. spot type retaining wall corner gap. positions in_corner in_between. objects wall concrete planter. environment landscape edge. concealment seam gap. In the corner gap between a low concrete retaining wall and planter edge, under roots and dry leaves."
sg60_004,SG60,4,6RTJlqxJtVY,bench_slat_gap,"In between the wooden bench slats, beside the metal armrest.",high,1.0,end6 contact sheet,in_between,beside,bench,wood,,bench_zone,wood+metal,seam_gap,5,Check the seam or narrow gap in between the bench before scanning open ground.,"SG60 silver coin. coin 4. spot type bench slat gap. positions in_between beside. objects bench wood. environment bench zone. concealment seam gap. In between the wooden bench slats, beside the metal armrest."
sg60_005,SG60,5,ikdn-k4Ug7c,kerb_grass_edge,"Beside a concrete kerb, on grass and soil at the base edge.",medium,0.7,end6 contact sheet,beside,on,kerb,grass,concrete,mixed_edge,concrete+grass,natural_cover,3,"Check under leaves, roots, or groundcover beside the kerb before searching open pavement.","SG60 silver coin. coin 5. spot type kerb grass edge. positions beside on. objects kerb grass concrete. environment mixed edge. concealment natural cover. Beside a concrete kerb, on grass and soil at the base edge."
sg60_006,SG60,6,SVfjqBOnJ_w,tree_bark_crevice,"Inside a tree bark groove, above dry leaves beside the hedge-lined walkway.",high,1.0,end12_24 plus end6 contact sheets,inside,above,tree,leaves,hedge,landscape_edge,leaf_litter+tile,seam_gap,5,Check the seam or narrow gap inside the tree before scanning open ground.,"SG60 silver coin. coin 6. spot type tree bark crevice. positions inside above. objects tree leaves hedge. environment landscape edge. concealment seam gap. Inside a tree bark groove, above dry leaves beside the hedge-lined walkway."
sg60_007,SG60,7,f7b-M4Y4eIY,railing_drain_gap,"In between green metal railing posts and the concrete drain edge, on soil and grass.",high,1.0,end6 contact sheet,in_between,on,railing,drain,concrete,utility_edge,metal+concrete,seam_gap,5,Check the seam or narrow gap in between the railing before scanning open ground.,"SG60 silver coin. coin 7. spot type railing drain gap. positions in_between on. objects railing drain concrete. environment utility edge. concealment seam gap. In between green metal railing posts and the concrete drain edge, on soil and grass."
sg60_009,SG60,9,binO9_h0WzU,planter_tile_edge,"Inside the planter edge, on top of the red brick border under the bush.",high,1.0,end6 contact sheet,inside,on_top,planter,tile,brick,landscape_edge,tile+brick,inside_object,5,Check inside the planter opening or recess before sweeping nearby grass or soil.,"SG60 silver coin. coin 9. spot type planter tile edge. positions inside on_top. objects planter tile brick. environment landscape edge. concealment inside object. Inside the planter edge, on top of the red brick border under the bush."
sg60_010,SG60,10,MF9qMW6YSUE,signboard_leg_corner,"In the corner gap beside a grey signboard leg, on the black concrete plinth.",high,1.0,end6 contact sheet,in_corner,beside,signboard,concrete,panel,structure_edge,concrete,seam_gap,5,Check the seam or narrow gap in the corner of the signboard before scanning open ground.,"SG60 silver coin. coin 10. spot type signboard leg corner. positions in_corner beside. objects signboard concrete panel. environment structure edge. concealment seam gap. In the corner gap beside a grey signboard leg, on the black concrete plinth."
sg60_011,SG60,11,NMCTHFKEPAk,bench_underseat_gap,"Under a purple bench, below the side panel and beside the leg.",high,1.0,end6 contact sheet,under,below,bench,panel,,bench_zone,metal,seam_gap,5,Check the seam or narrow gap under the bench before scanning open ground.,"SG60 silver coin. coin 11. spot type bench underseat gap. positions under below. objects bench panel. environment bench zone. concealment seam gap. Under a purple bench, below the side panel and beside the leg."
