coin_number,short_id,spot_type,spot_description,confidence,review_basis
25,OpU06YLA55A,drain_grass_edge,"Beside a drain grate, on soil at the grass edge, under small leaves.",high,"end6 contact sheet"
26,ZwwcIszrb_8,bench_underside,"Under a black bench, below the seat panel, beside grass.",high,"full1 plus end6 contact sheets"
27,STosuIpHXps,bench_support_gap,"Behind a metal bench support, in between the bench and wall, on concrete.",high,"full1 plus end6 contact sheets"
28,sT7fDNfaIfI,planter_wall_opening,"Inside a narrow opening in a concrete planter wall, beside soil and plant leaves.",high,"full1 plus end6 contact sheets"
29,HLXnWdx24eY,fence_curb_leaf_litter,"Under wet leaves, beside a green fence, on the curb edge.",high,"end6 contact sheet"
30,LMYIbU57uwM,roots_curb_edge,"Under twigs and roots, beside a green fence, against the concrete curb.",high,"end6 contact sheet"
31,8lhGsJdjrMQ,stair_edge_gap,"In between the metal stair edge and concrete side wall.",high,"end6 contact sheet"
32,Cxb1MvGZ12o,pipe_gap,"Behind a white drainpipe, in between the pipe and wall.",high,"full1 plus end6 contact sheets"
33,li0nCJERVQw,lamp_post_base,"Beside a black lamp post base, in soil and leaves.",high,"end6 contact sheet"
34,jT5t7cmFYUE,brick_concrete_corner,"In between brick and concrete, inside a corner crack beside the wall.",high,"full1 plus end6 contact sheets"
35,DtxAM6fQ3jQ,concrete_block_crack,"In between concrete blocks, inside a narrow crack beside leaves.",high,"end6 contact sheet"
36,jOxQTShB3uA,stone_planter_edge,"Under leaves, beside a white concrete or stone planter edge.",high,"end6 contact sheet"
37,PVfwhe4dAkw,planter_soil,"Inside a white planter, on soil below a shrub.",high,"end6 contact sheet"
38,TKX9s4gnbTw,brick_wall_gap,"In between red paving bricks and the wall, inside the corner gap.",high,"end6 contact sheet"
39,ItYuVF1UP_I,slab_block_gap,"In between a loose concrete block and a long concrete slab, on grass.",high,"full1 plus end6 contact sheets"
40,8tvZt5LCuAw,concrete_block_gap,"In between rough concrete blocks, beside a brick curb or ledge.",high,"full1 plus end6 contact sheets"
41,SfK51g-6IWI,pipe_gap,"Behind a white drainpipe, beside a pillar, on the floor.",high,"end6 contact sheet"
42,Q_vp5KtOenk,lamp_post_base_plants,"Under strap leaves, beside a lamp post base, above the concrete footing.",high,"full1 plus end6 contact sheets"
43,S8kG06nVMUw,curb_drain_gap,"In between the concrete curb and metal drain cover, beside grass.",high,"end6 contact sheet"
44,TFO3rh4-SNI,lamp_post_base,"Beside a lamp post base, on soil under leaves.",high,"end6 contact sheet"
45,YKv5xKHNuGg,walkway_planter_crack,"In the crack beside a pebble-wash walkway, on soil at the planter edge.",high,"end6 contact sheet"
46,_FhdF9idORc,hedge_drain_edge,"Beside a drain grate, under leaves, at the hedge border.",high,"end6 contact sheet"
47,x6-S8zD7JjU,path_edge_corner,"In between the stone path edge and soil corner, beside grass.",high,"full1 plus end10 plus end6 contact sheets"
48,_W9yNmf51MM,tree_root_gap,"In between tree roots and a stone border, under grass.",high,"end6 contact sheet"
